kohorta,vek,prezitie_pct
1970,8,96.45
1970,9,96.4
1970,10,96.36
1970,11,96.31
1970,12,96.27
1970,13,96.22
1970,14,96.17
1970,15,96.12
1970,16,96.06
1970,17,96.01
1970,18,95.95
1970,19,95.89
1970,20,95.83
1970,21,95.76
1970,22,95.69
1970,23,95.62
1970,24,95.55
1970,25,95.47
1970,26,95.39
1970,27,95.31
1970,28,95.22
1970,29,95.13
1970,30,95.03
1970,31,94.93
1970,32,94.82
1970,33,94.7
1970,34,94.58
1970,35,94.45
1970,36,94.31
1970,37,94.17
1970,38,94.02
1970,39,93.85
1970,40,93.68
1970,41,93.5
1970,42,93.31
1970,43,93.1
1970,44,92.89
1970,45,92.65
1970,46,92.41
1970,47,92.15
1970,48,91.87
1970,49,91.58
1970,50,91.27
1970,51,90.9
1970,52,90.41
1970,53,89.98
1970,54,89.56
1970,55,89.12
1970,56,88.65
1970,57,88.14
1970,58,87.6
1970,59,87.01
1970,60,86.39
1970,61,85.73
1970,62,85.01
1970,63,84.24
1970,64,83.41
1970,65,82.53
1970,66,81.57
1970,67,80.55
1970,68,79.46
1970,69,78.29
1970,70,77.04
1970,71,75.7
1970,72,74.27
1970,73,72.75
1970,74,71.12
1970,75,69.39
1970,76,67.56
1970,77,65.62
1970,78,63.56
1970,79,61.4
1970,80,59.12
1970,81,56.74
1970,82,54.25
1970,83,51.65
1970,84,48.97
1970,85,46.19
1970,86,43.35
1970,87,40.44
1970,88,37.49
1970,89,34.52
1970,90,31.54
1970,91,28.58
1970,92,25.67
1970,93,22.82
1970,94,20.07
1970,95,17.43
1970,96,14.95
1970,97,12.64
1970,98,10.52
1970,99,8.6
1970,100,6.91
1990,0,100.0
1990,1,98.53
1990,2,98.18
1990,3,98.07
1990,4,98.01
1990,5,97.97
1990,6,97.93
1990,7,97.88
1990,8,97.84
1990,9,97.8
1990,10,97.75
1990,11,97.71
1990,12,97.66
1990,13,97.62
1990,14,97.57
1990,15,97.52
1990,16,97.47
1990,17,97.42
1990,18,97.37
1990,19,97.31
1990,20,97.26
1990,21,97.2
1990,22,97.14
1990,23,97.08
1990,24,97.02
1990,25,96.96
1990,26,96.89
1990,27,96.82
1990,28,96.75
1990,29,96.68
1990,30,96.6
1990,31,96.52
1990,32,96.41
1990,33,96.31
1990,34,96.22
1990,35,96.12
1990,36,96.02
1990,37,95.91
1990,38,95.8
1990,39,95.67
1990,40,95.55
1990,41,95.41
1990,42,95.26
1990,43,95.11
1990,44,94.95
1990,45,94.77
1990,46,94.58
1990,47,94.38
1990,48,94.16
1990,49,93.93
1990,50,93.68
1990,51,93.42
1990,52,93.13
1990,53,92.82
1990,54,92.49
1990,55,92.13
1990,56,91.75
1990,57,91.33
1990,58,90.88
1990,59,90.4
1990,60,89.87
1990,61,89.31
1990,62,88.7
1990,63,88.04
1990,64,87.34
1990,65,86.57
1990,66,85.75
1990,67,84.86
1990,68,83.9
1990,69,82.88
1990,70,81.77
1990,71,80.58
1990,72,79.31
1990,73,77.94
1990,74,76.47
1990,75,74.9
1990,76,73.22
1990,77,71.43
1990,78,69.52
1990,79,67.5
1990,80,65.35
1990,81,63.09
1990,82,60.7
1990,83,58.2
1990,84,55.58
1990,85,52.86
1990,86,50.03
1990,87,47.11
1990,88,44.12
1990,89,41.06
1990,90,37.97
1990,91,34.85
1990,92,31.73
1990,93,28.63
1990,94,25.59
1990,95,22.63
1990,96,19.78
1990,97,17.07
1990,98,14.53
1990,99,12.18
1990,100,10.04
2010,0,100.0
2010,1,99.43
2010,2,99.28
2010,3,99.21
2010,4,99.17
2010,5,99.13
2010,6,99.09
2010,7,99.05
2010,8,99.01
2010,9,98.97
2010,10,98.93
2010,11,98.88
2010,12,98.84
2010,13,98.8
2010,14,98.75
2010,15,98.71
2010,16,98.66
2010,17,98.62
2010,18,98.57
2010,19,98.52
2010,20,98.47
2010,21,98.42
2010,22,98.37
2010,23,98.32
2010,24,98.27
2010,25,98.21
2010,26,98.15
2010,27,98.09
2010,28,98.03
2010,29,97.97
2010,30,97.9
2010,31,97.83
2010,32,97.76
2010,33,97.68
2010,34,97.6
2010,35,97.51
2010,36,97.43
2010,37,97.33
2010,38,97.23
2010,39,97.13
2010,40,97.02
2010,41,96.9
2010,42,96.77
2010,43,96.64
2010,44,96.5
2010,45,96.35
2010,46,96.18
2010,47,96.01
2010,48,95.82
2010,49,95.62
2010,50,95.41
2010,51,95.18
2010,52,94.93
2010,53,94.66
2010,54,94.37
2010,55,94.05
2010,56,93.72
2010,57,93.35
2010,58,92.96
2010,59,92.53
2010,60,92.07
2010,61,91.57
2010,62,91.03
2010,63,90.45
2010,64,89.82
2010,65,89.13
2010,66,88.4
2010,67,87.6
2010,68,86.74
2010,69,85.81
2010,70,84.81
2010,71,83.74
2010,72,82.58
2010,73,81.33
2010,74,79.98
2010,75,78.54
2010,76,76.99
2010,77,75.34
2010,78,73.57
2010,79,71.68
2010,80,69.68
2010,81,67.54
2010,82,65.29
2010,83,62.91
2010,84,60.4
2010,85,57.78
2010,86,55.04
2010,87,52.19
2010,88,49.24
2010,89,46.2
2010,90,43.09
2010,91,39.93
2010,92,36.73
2010,93,33.52
2010,94,30.32
2010,95,27.17
2010,96,24.09
2010,97,21.11
2010,98,18.27
2010,99,15.59
2010,100,13.11
2030,0,100.0
2030,1,99.56
2030,2,99.43
2030,3,99.37
2030,4,99.33
2030,5,99.29
2030,6,99.25
2030,7,99.21
2030,8,99.17
2030,9,99.13
2030,10,99.09
2030,11,99.05
2030,12,99.01
2030,13,98.97
2030,14,98.93
2030,15,98.89
2030,16,98.85
2030,17,98.8
2030,18,98.76
2030,19,98.71
2030,20,98.67
2030,21,98.62
2030,22,98.57
2030,23,98.52
2030,24,98.47
2030,25,98.42
2030,26,98.37
2030,27,98.31
2030,28,98.26
2030,29,98.2
2030,30,98.13
2030,31,98.07
2030,32,98.0
2030,33,97.93
2030,34,97.86
2030,35,97.78
2030,36,97.7
2030,37,97.62
2030,38,97.53
2030,39,97.44
2030,40,97.34
2030,41,97.23
2030,42,97.12
2030,43,97.0
2030,44,96.87
2030,45,96.73
2030,46,96.59
2030,47,96.43
2030,48,96.26
2030,49,96.08
2030,50,95.89
2030,51,95.69
2030,52,95.46
2030,53,95.22
2030,54,94.96
2030,55,94.68
2030,56,94.38
2030,57,94.05
2030,58,93.7
2030,59,93.32
2030,60,92.91
2030,61,92.46
2030,62,91.98
2030,63,91.45
2030,64,90.89
2030,65,90.27
2030,66,89.61
2030,67,88.89
2030,68,88.12
2030,69,87.28
2030,70,86.37
2030,71,85.39
2030,72,84.34
2030,73,83.19
2030,74,81.96
2030,75,80.64
2030,76,79.22
2030,77,77.69
2030,78,76.05
2030,79,74.29
2030,80,72.41
2030,81,70.41
2030,82,68.29
2030,83,66.04
2030,84,63.65
2030,85,61.14
2030,86,58.5
2030,87,55.75
2030,88,52.87
2030,89,49.9
2030,90,46.83
2030,91,43.68
2030,92,40.48
2030,93,37.24
2030,94,33.98
2030,95,30.74
2030,96,27.54
2030,97,24.42
2030,98,21.4
2030,99,18.52
2030,100,15.81
